date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:34:15	165281/165281	---M-Z	200	added ('OK')	text/html	etag:%22-1238704044%22	https://www.fastfriendlyrepair.com/	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/index.html	(from )
06:34:15	112/112	---M-Z	200	added ('OK')	text/plain	etag:%22-1803888508%22	https://www.fastfriendlyrepair.com/robots.txt		(from )
06:34:15	18095/18095	---M-Z	200	added ('OK')	text/javascript	etag:%22-1973398613%22	https://www.fastfriendlyrepair.com/runtime-service-worker.js?v=3	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/f30f4.txt	(from https://www.fastfriendlyrepair.com/)
06:34:15	59671/59671	---M--	200	added ('OK')	image/png	etag:%22873683ff3181ed4d04751d446fa9e291%22	https://irp.cdn-website.com/8d8e069d/dms3rep/multi/FastFriendly.png	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/irp.cdn-website.com/8d8e069d/dms3rep/multi/FastFriendly.png	(from https://www.fastfriendlyrepair.com/)
06:34:16	316958/316958	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2026%20Aug%202025%2010:34:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/connect.facebook.net/en_US/fbevents.js	(from https://www.fastfriendlyrepair.com/)
06:34:16	170492/170492	---M-Z	200	added ('OK')	text/html	etag:%22-820608436%22	https://www.fastfriendlyrepair.com/services	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/services.html	(from https://www.fastfriendlyrepair.com/)
06:34:17	88472/88472	---M-Z	200	added ('OK')	text/html	etag:%22-1976409657%22	https://www.fastfriendlyrepair.com/keys-and-locksmith-services	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/keys-and-locksmith-services.html	(from https://www.fastfriendlyrepair.com/)
06:34:17	95262/95262	---M-Z	200	added ('OK')	text/html	etag:%226168520%22	https://www.fastfriendlyrepair.com/towing	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/towing.html	(from https://www.fastfriendlyrepair.com/)
06:34:18	88448/88448	---M-Z	200	added ('OK')	text/html	etag:%22829587716%22	https://www.fastfriendlyrepair.com/fleet-repair	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/fleet-repair.html	(from https://www.fastfriendlyrepair.com/)
06:34:18	88511/88511	---M-Z	200	added ('OK')	text/html	etag:%221196466202%22	https://www.fastfriendlyrepair.com/hazmat-spill-response-service	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/hazmat-spill-response-service.html	(from https://www.fastfriendlyrepair.com/)
06:34:19	88582/88582	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Aug%202025%2010:34:19%20GMT	https://www.fastfriendlyrepair.com/light%e2%80%93heavy-recovery	C:/Users/xurst/Downloads/test%20trucking%20website%20or%20sum/FastFriendlyClone/www.fastfriendlyrepair.com/light%e2%80%93heavy-recovery.html	(from https://www.fastfriendlyrepair.com/)
